"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AASS",119.16366277827,-0.00634727624930578,0.0486662084110683,0.319637954914443,0.908901231670007
"AATF",25.9249009882621,-0.00589337614962549,0.0487584007314178,0.239261687984805,0.88464325582166
"ABAT",70.5778146613595,-0.0121095110030716,0.0502507018032615,0.0864206656001755,0.789152577488312
"ABCA1",9.72867529128817,-0.000866166483956963,0.0483061891629479,0.833091135513233,0.985858007379432
"ABCA10",87.0740399247218,-0.00695142692000447,0.0488100163479022,0.26785704071804,0.89689575573063
"ABCA11P",105.593372798761,0.00261841906528899,0.0481048296435972,0.698456613486448,0.979381316738632
"ABCA12",79.6722073493227,-0.00983632381940713,0.0495398850901531,0.125094107709161,0.824472020955788
"ABCA13",90.8572282203629,-0.00935589183935374,0.0494130000083156,0.140383918702362,0.838584732910797
"ABCA17P",62.6098016071765,0.000360741297680351,0.0478862947933927,0.963425543318009,0.993655035094312
"ABCA3",87.1015716574902,-0.00812023377036884,0.0490179377961117,0.228296298034275,0.879993757807423
"ABCA4",7.89703250734181,-0.00281534694072458,0.0484031243835511,0.51826754712641,0.962843297551762
"ABCA5",113.023718626614,0.0049786182837822,0.0483984172478165,0.452984007439874,0.95177155542207
"ABCA8",46.033028033166,0.00460029438784597,0.0486130377129641,0.2821720802825,0.903465778348736
"ABCA9",75.7683399499308,-0.00148879671945276,0.0482430966854211,0.766733782633932,0.98199427166359
"ABCB1",139.718407155627,-0.00292566978213311,0.0481145894830152,0.667172936947467,0.977557257799972
"ABCB10",28.8484081097728,-0.0150460492149473,0.0517836111445801,0.00363054068255766,0.425812191264078
"ABCB11",29.4092192881482,-0.000900995242083154,0.0482578032833374,0.848303755245605,0.985858007379432
"ABCB5",33.7766736630515,-0.0092862655968627,0.0496741421171223,0.0168308351411352,0.553386477444765
"ABCB7",77.6188627345108,0.00368448197961702,0.0483392612877532,0.527761877745058,0.962843297551762
"ABCB9",75.0306989181938,0.00773322782532013,0.0491243068815117,0.135657750183811,0.837138771714183
"ABCC1",66.6683163067924,-0.0116352000516584,0.0501560258533385,0.0653139814310415,0.747648617113827
"ABCC4",57.7881155569167,-0.00219244194338688,0.047964734180005,0.766562455119504,0.98199427166359
"ABCC5",42.9461825276527,-0.00550031748663616,0.0486271300131197,0.330654365255442,0.908901231670007
"ABCC6",7.5845468295236,-0.00101150030752607,0.0482965323552933,0.173126917233486,0.862153184154501
"ABCC8",20.8560350195294,0.00911954156547268,0.0495208596850253,0.0658933819438331,0.747648617113827
"ABCC9",27.9566226254301,-0.00942690559332663,0.0496317383878096,0.0469951336016128,0.695178117031965
"ABCD3",57.895773719504,0.00477330854894242,0.0482987532050269,0.500158485832712,0.961058922938625
"ABCE1",136.853772122724,0.00272296711256452,0.0482851721286454,0.619488786087118,0.970824974698301
"ABCG5",6.00364482625556,0.0019894186699727,0.0483569945081052,0.637437568018665,0.971550753958962
"ABHD10",558.558091785179,0.00344523939073804,0.0481260920647928,0.629870115876239,0.97095043726673
"ABHD12",157.953962452918,-0.000690858325812674,0.0478007453177849,0.929577596784269,0.990827784302068
"ABHD2",207.37979645251,-0.00730314406998028,0.0484038504787504,0.418649784903297,0.938318970250441
"ABHD3",24.5028258156848,-0.000912580512645221,0.0482866717899328,0.836321352474325,0.985858007379432
"ABHD5",204.477482942336,0.0024286772003648,0.0482566522988513,0.65919587230084,0.975567392400573
"ABHD6",132.160461429026,-0.0101394497856577,0.0492900930362724,0.224149349270621,0.879993757807423
